benefits,Freq
五险一金,2367
年终奖金,1896
绩效奖金,1684
专业培训,1337
餐饮补贴,1311
员工旅游,1276
定期体检,1087
节日福利,886
带薪年假,756
通讯补贴,566
周末双休,560
交通补贴,554
免费班车,408
弹性工作,408
全勤奖,346
补充医疗保险,275
包住宿,270
包吃,252
五险,229
加班补贴,201
股票期权,173
出国机会,170
住房补贴,139
高温补贴,138
包吃包住,121
做五休二,100
补充公积金,68
包三餐,59
提供住宿,54
社保,51
包住,48
节假日福利,47
生日福利,40
提供食宿,32
工作餐,31
免费工作餐,29
年底双薪,29
包吃住,27
项目奖金,27
包食宿,26
免费住宿,22
大小周,22
年度旅游,22
六险一金,20
购买社保,20
双休,19
下午茶,17
单休,17
商业保险,16
工龄奖,16
法定节假日,15
社会保险,15
8小时工作制,14
生日礼物,14
出差补贴,13
加班补助,12
单双休,12
免费培训,11
员工宿舍,11
年度体检,11
餐补,11
住宿补贴,10
团建活动,10
团队聚餐,10
定期团建,10
带薪休假,10
年度调薪,10
年终奖,10
每年调薪,10
上市公司,9
免费食宿,9
年终双薪,9
提供宿舍,9
环境优美,9
五天八小时,8
交通便利,8
免费体检,8
意外险,8
提供工作餐,8
法定假期,8
生日礼品,8
社保五险,8
股权激励,8
13薪,7
做六休一,7
包工作餐,7
员工生日会,7
岗位晋升,7
晋升空间大,7
生日会,7
生日礼金,7
购买五险,7
项目奖,7
住宿,6
免费停车,6
免费午餐,6
免费旅游,6
员工活动,6
工作环境优美,6
工龄工资,6
工龄补贴,6
提供午餐,6
节日礼物,6
加班费,5
团队活动丰富,5
带薪假期,5
年休假,5
年底奖金,5
有薪年假,5
试用期全薪,5
过节费,5
5天8小时,4
人才公寓,4
全额五险一金,4
养老保险,4
包中餐,4
十三薪,4
发展空间大,4
团建,4
大牛带队,4
季度奖金,4
扁平管理,4
晋升空间,4
每年多次调薪,4
社保医保,4
租房补贴,4
节日礼品,4
过节福利,4
5.5天工作制,3
做一休一,3
免费宿舍,3
免费餐饮,3
入职购买社保,3
全勤奖金,3
出国旅游,3
医疗保险,3
发展空间,3
员工食堂,3
商业意外险,3
团队活动,3
大小休,3
大小周工作制,3
失业保险,3
宿舍,3
工伤保险,3
带薪培训,3
带薪年休假,3
带薪病假,3
年假,3
扁平化管理,3
技能培训,3
提供伙食,3
提供吃住,3
朝九晚六,3
生日津贴,3
生日蛋糕,3
管理规范,3
